Entidad,Sexo,Preescolar,Primaria,Secundaria,Media superior,Superior
Estados Unidos Mexicanos,Total,4334938,13345969,6210924,5003087,4032931
Estados Unidos Mexicanos,Hombres,2179034,6779902,3119827,2420910,1901523
Estados Unidos Mexicanos,Mujeres,2155904,6566067,3091097,2582177,2131408
Aguascalientes,Total,53244,160072,73707,56980,54196
Aguascalientes,Hombres,26746,81207,37116,27212,24983
Aguascalientes,Mujeres,26498,78865,36591,29768,29213
Baja California,Total,97576,379695,183627,148054,128620
Baja California,Hombres,48130,192749,92195,71558,60688
Baja California,Mujeres,49446,186946,91432,76496,67932
Baja California Sur,Total,25080,82593,40939,33423,22590
Baja California Sur,Hombres,12390,42020,20684,16206,10456
Baja California Sur,Mujeres,12690,40573,20255,17217,12134
Campeche,Total,32886,98212,44702,36452,29520
Campeche,Hombres,16637,49867,22790,18329,14044
Campeche,Mujeres,16249,48345,21912,18123,15476
Coahuila de Zaragoza,Total,129935,327171,153963,119026,112943
Coahuila de Zaragoza,Hombres,65362,166327,77402,58486,55267
Coahuila de Zaragoza,Mujeres,64573,160844,76561,60540,57676
Colima,Total,22483,71291,33951,30083,21608
Colima,Hombres,11253,36205,17206,14163,9907
Colima,Mujeres,11230,35086,16745,15920,11701
Chiapas,Total,293072,796609,292302,207773,81960
Chiapas,Hombres,147140,404564,149580,103871,40368
Chiapas,Mujeres,145932,392045,142722,103902,41592
Chihuahua,Total,113293,407815,185353,147536,129563
Chihuahua,Hombres,56812,207388,92823,69656,59742
Chihuahua,Mujeres,56481,200427,92530,77880,69821
Ciudad de México,Total,219271,746095,409226,452717,551879
Ciudad de México,Hombres,110097,377824,206382,225562,272407
Ciudad de México,Mujeres,109174,368271,202844,227155,279472
Durango,Total,65307,213596,96459,77079,51530
Durango,Hombres,33089,109048,48405,36744,24114
Durango,Mujeres,32218,104548,48054,40335,27416
Guanajuato,Total,233290,683673,310334,236212,160622
Guanajuato,Hombres,117392,347829,155312,111488,75459
Guanajuato,Mujeres,115898,335844,155022,124724,85163
Guerrero,Total,167848,422275,183392,137517,73097
Guerrero,Hombres,84975,214231,91758,65853,32558
Guerrero,Mujeres,82873,208044,91634,71664,40539
Hidalgo,Total,99309,332230,168950,136878,106502
Hidalgo,Hombres,50105,168649,84722,65399,48537
Hidalgo,Mujeres,49204,163581,84228,71479,57965
Jalisco,Total,286070,915227,412210,326960,256784
Jalisco,Hombres,143592,465528,207100,156192,119088
Jalisco,Mujeres,142478,449699,205110,170768,137696
México,Total,491313,1704384,845366,667201,449396
México,Hombres,245593,863719,424760,321647,211122
México,Mujeres,245720,840665,420606,345554,238274
Michoacán de Ocampo,Total,184046,540950,222424,166197,114527
Michoacán de Ocampo,Hombres,92387,274252,109103,76528,52344
Michoacán de Ocampo,Mujeres,91659,266698,113321,89669,62183
Morelos,Total,58884,195107,93267,74778,63162
Morelos,Hombres,29657,99214,46486,35455,29000
Morelos,Mujeres,29227,95893,46781,39323,34162
Nayarit,Total,45259,134566,63533,51863,33805
Nayarit,Hombres,22952,68634,31835,24643,15392
Nayarit,Mujeres,22307,65932,31698,27220,18413
Nuevo León,Total,197330,583542,275402,191213,240776
Nuevo León,Hombres,99763,296881,138946,96372,116708
Nuevo León,Mujeres,97567,286661,136456,94841,124068
Oaxaca,Total,159111,456863,196223,143368,73620
Oaxaca,Hombres,79980,231482,97954,68286,33036
Oaxaca,Mujeres,79131,225381,98269,75082,40584
Puebla,Total,271589,751723,337866,276283,262342
Puebla,Hombres,136336,380486,168200,131681,119393
Puebla,Mujeres,135253,371237,169666,144602,142949
Querétaro,Total,81481,253497,120125,90055,84760
Querétaro,Hombres,41108,128675,59777,42307,39006
Querétaro,Mujeres,40373,124822,60348,47748,45754
Quintana Roo,Total,54941,194034,93683,71875,38816
Quintana Roo,Hombres,27843,98493,47500,35359,18938
Quintana Roo,Mujeres,27098,95541,46183,36516,19878
San Luis Potosí,Total,112524,297011,141849,100223,79524
San Luis Potosí,Hombres,56759,151036,71101,48649,36848
San Luis Potosí,Mujeres,55765,145975,70748,51574,42676
Sinaloa,Total,110424,306849,151392,138451,131685
Sinaloa,Hombres,56186,156718,76545,66919,60802
Sinaloa,Mujeres,54238,150131,74847,71532,70883
Sonora,Total,86191,293322,145723,118269,113588
Sonora,Hombres,43293,149662,73569,57799,52815
Sonora,Mujeres,42898,143660,72154,60470,60773
Tabasco,Total,105905,278171,134160,115170,71109
Tabasco,Hombres,53553,141601,68592,58393,35225
Tabasco,Mujeres,52352,136570,65568,56777,35884
Tamaulipas,Total,100308,359932,170009,136541,135883
Tamaulipas,Hombres,49930,183445,84933,66331,62338
Tamaulipas,Mujeres,50378,176487,85076,70210,73545
Tlaxcala,Total,49545,148306,73418,58435,39408
Tlaxcala,Hombres,24772,75232,36910,28957,17933
Tlaxcala,Mujeres,24773,73074,36508,29478,21475
Veracruz de Ignacio de la Llave,Total,220495,788898,363070,300102,186215
Veracruz de Ignacio de la Llave,Hombres,110990,402345,182441,145805,91393
Veracruz de Ignacio de la Llave,Mujeres,109505,386553,180629,154297,94822
Yucatán,Total,96893,228911,106253,92784,83665
Yucatán,Hombres,49184,116719,53634,45737,39752
Yucatán,Mujeres,47709,112192,52619,47047,43913
Zacatecas,Total,70035,193349,88046,63589,49236
Zacatecas,Hombres,35028,97872,44066,29323,21860
Zacatecas,Mujeres,35007,95477,43980,34266,27376
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
